               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  17,            0.053236,            0.019048,           0.0085824,             0.43653,             0.42851,             0.30863,            0.094713,             0.10133,            0.039711,            0.014655,            0.034108,           0.0051084,           0.0051084
                  18,            0.051856,            0.019433,           0.0082893,             0.31325,             0.44048,             0.26161,            0.080336,             0.10175,            0.039379,             0.01405,            0.030272,           0.0052725,           0.0052725
                  19,            0.039971,            0.018156,           0.0040939,              0.4401,             0.44048,             0.40638,             0.21121,            0.099448,            0.040546,            0.013336,            0.026423,           0.0054234,           0.0054234
                  20,            0.040145,            0.018087,           0.0038084,             0.50274,             0.43111,             0.44125,             0.14263,             0.09751,            0.041512,            0.012354,            0.022561,            0.005561,            0.005561
                  21,            0.043476,            0.021364,           0.0045972,             0.28836,              0.5119,             0.33414,             0.11813,            0.095369,            0.042408,            0.011469,            0.018685,           0.0056854,           0.0056854
                  22,            0.040311,            0.015824,           0.0037029,             0.51637,             0.42013,              0.4755,             0.24579,             0.09874,            0.039459,            0.010657,            0.014797,           0.0057967,           0.0057967
                  23,            0.044151,            0.015886,           0.0039899,             0.83453,             0.27381,             0.37342,             0.14575,            0.095345,            0.040539,             0.01004,            0.010895,           0.0058948,           0.0058948
                  24,            0.045635,            0.018059,           0.0043852,              0.6267,             0.27381,             0.43614,             0.13957,             0.10004,            0.038452,              0.0097,           0.0069796,           0.0059796,           0.0059796
                  25,            0.047544,            0.017067,           0.0069007,             0.37993,             0.44048,             0.44428,              0.1448,               0.101,            0.037579,           0.0096024,            0.005875,            0.005875,            0.005875
                  26,            0.064077,            0.015281,           0.0085955,             0.71945,             0.44048,             0.55143,              0.2555,            0.096361,            0.039776,           0.0096863,            0.005875,            0.005875,            0.005875
                  27,            0.036007,            0.018514,           0.0037262,             0.74778,             0.43652,             0.46423,             0.25763,             0.08971,            0.043789,            0.009967,             0.00571,             0.00571,             0.00571
                  28,            0.036072,            0.014238,           0.0033578,             0.80439,              0.4107,             0.49548,             0.19582,             0.09028,             0.04285,           0.0098953,            0.005545,            0.005545,            0.005545
                  29,            0.035004,            0.015242,           0.0020928,             0.86596,             0.44048,             0.50609,             0.29085,            0.087306,            0.044243,           0.0097839,             0.00538,             0.00538,             0.00538
                  30,            0.047686,            0.017206,           0.0055412,              0.8175,             0.44048,             0.52145,             0.34138,            0.086356,            0.043781,           0.0098053,            0.005215,            0.005215,            0.005215
                  31,            0.034219,            0.016875,           0.0049143,             0.61703,             0.44048,             0.52476,             0.32012,             0.08765,            0.042618,           0.0098831,             0.00505,             0.00505,             0.00505
                  32,            0.043666,            0.015964,           0.0035536,             0.91572,             0.44048,             0.50631,             0.28776,            0.085441,            0.043365,           0.0097427,            0.004885,            0.004885,            0.004885
                  33,            0.029508,            0.014666,            0.005075,             0.60094,             0.44048,             0.49913,              0.2506,            0.087413,             0.04258,           0.0096436,             0.00472,             0.00472,             0.00472
                  34,            0.037166,            0.014792,           0.0019849,             0.90781,             0.44048,             0.52988,             0.26254,            0.085447,            0.043297,           0.0096786,            0.004555,            0.004555,            0.004555
                  35,            0.032989,            0.013042,           0.0025078,             0.83158,             0.44048,             0.50036,             0.31072,            0.084008,            0.044098,           0.0095291,             0.00439,             0.00439,             0.00439
                  36,            0.030343,            0.014091,           0.0014529,             0.94542,             0.44048,             0.56259,             0.30952,            0.085716,            0.043213,            0.009343,            0.004225,            0.004225,            0.004225
                  37,            0.029076,            0.015967,           0.0019443,             0.79911,             0.41857,             0.56469,             0.35984,            0.083071,            0.044899,           0.0094162,             0.00406,             0.00406,             0.00406
                  38,             0.03328,            0.014914,           0.0041696,             0.89367,             0.43459,             0.52863,             0.31258,            0.084695,            0.043678,           0.0089676,            0.003895,            0.003895,            0.003895
                  39,            0.025741,            0.015468,           0.0018487,             0.93853,             0.39112,             0.54343,              0.2493,            0.085376,            0.043739,           0.0087891,             0.00373,             0.00373,             0.00373
                  40,            0.030859,            0.014392,           0.0016793,             0.69367,             0.44048,             0.59943,             0.35104,            0.085763,            0.043434,           0.0083801,            0.003565,            0.003565,            0.003565
                  41,            0.023937,            0.015309,           0.0014412,             0.87563,             0.37865,              0.5528,             0.20287,            0.085732,            0.043678,           0.0082947,              0.0034,              0.0034,              0.0034
                  42,            0.036115,            0.013546,           0.0027556,             0.91943,              0.3874,             0.54679,             0.31303,            0.085487,            0.043732,           0.0082565,            0.003235,            0.003235,            0.003235
                  43,            0.024336,             0.01385,           0.0015111,             0.51879,             0.61105,             0.55787,             0.23744,            0.084906,            0.044533,           0.0081467,             0.00307,             0.00307,             0.00307
                  44,            0.034258,            0.014259,            0.013198,             0.85084,              0.4619,             0.62202,             0.34505,            0.083742,            0.044785,           0.0081329,            0.002905,            0.002905,            0.002905
                  45,            0.034375,            0.017092,            0.011648,             0.85443,             0.46377,             0.58067,             0.27435,            0.083949,            0.044548,           0.0078674,             0.00274,             0.00274,             0.00274
                  46,            0.024256,            0.015139,           0.0015502,             0.95225,             0.40476,             0.56677,             0.32672,            0.084522,            0.044327,           0.0078186,            0.002575,            0.002575,            0.002575
                  47,            0.028202,            0.016218,           0.0024696,             0.85224,             0.46083,             0.61368,             0.34099,            0.083367,            0.045067,           0.0076263,             0.00241,             0.00241,             0.00241
                  48,            0.027532,            0.015269,           0.0013665,             0.77973,             0.40476,             0.54765,             0.33548,             0.08427,            0.044624,            0.007402,            0.002245,            0.002245,            0.002245
                  49,            0.023774,            0.013124,           0.0021971,             0.88646,             0.43542,             0.57468,             0.31978,             0.08404,            0.044746,           0.0072739,             0.00208,             0.00208,             0.00208
                  50,            0.027115,            0.014769,           0.0021022,             0.76045,             0.47619,              0.6092,             0.30048,             0.08265,            0.045883,           0.0070847,            0.001915,            0.001915,            0.001915
                  51,            0.021954,            0.015541,            0.001377,             0.87268,             0.59946,             0.65035,             0.35946,            0.082581,            0.045662,           0.0069016,             0.00175,             0.00175,             0.00175
                  52,            0.020914,            0.014229,           0.0012912,             0.91474,             0.54476,             0.61412,             0.36457,            0.083108,            0.045624,           0.0068436,            0.001585,            0.001585,            0.001585
                  53,            0.022461,             0.01466,           0.0012779,             0.89767,             0.59483,             0.65003,             0.35572,             0.08242,            0.045837,           0.0067978,             0.00142,             0.00142,             0.00142
                  54,            0.026387,            0.015649,           0.0014043,             0.92066,             0.59043,             0.65015,             0.31064,             0.08197,            0.046036,           0.0067749,            0.001255,            0.001255,            0.001255
                  55,            0.034121,            0.012438,            0.005165,             0.94672,             0.58623,              0.6498,             0.36519,            0.081866,            0.046074,           0.0066864,             0.00109,             0.00109,             0.00109
                  56,             0.02133,            0.013209,           0.0011864,             0.92422,             0.43587,             0.57238,             0.35146,            0.082065,             0.04599,           0.0065918,            0.000925,            0.000925,            0.000925
                  57,             0.03201,            0.013083,          0.00094979,             0.82552,             0.54992,             0.61901,              0.3766,            0.081957,             0.04586,           0.0066132,             0.00076,             0.00076,             0.00076
                  58,            0.019592,            0.013671,           0.0011601,             0.81521,              0.5513,             0.61904,             0.35471,            0.081434,            0.046227,           0.0065613,            0.000595,            0.000595,            0.000595
                  59,            0.023532,             0.01339,           0.0025839,             0.93382,             0.58564,             0.65648,             0.36555,            0.081186,            0.046379,           0.0065796,             0.00043,             0.00043,             0.00043
