               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092764,             0.02993,            0.022511,           0.0032814,             0.27381,           0.0023985,          0.00043862,             0.12918,            0.036219,            0.027527,              0.0973,              0.0003,              0.0003
                   1,            0.077923,            0.029216,            0.020251,           0.0033143,             0.27381,           0.0024325,           0.0003911,             0.12716,            0.036377,            0.027545,            0.093688,          0.00068845,          0.00068845
                   2,            0.068803,            0.031661,            0.018844,           0.0040842,             0.30952,           0.0031301,          0.00061584,             0.12425,            0.036947,            0.027295,            0.090064,           0.0010637,           0.0010637
                   3,            0.070971,             0.03134,            0.019541,           0.0058035,             0.64286,           0.0056806,           0.0013763,             0.12261,            0.036089,             0.02666,            0.086426,           0.0014257,           0.0014257
                   4,            0.054913,            0.030943,            0.017178,           0.0065627,             0.67857,           0.0076284,           0.0016364,             0.12097,            0.036356,            0.026025,            0.082775,           0.0017746,           0.0017746
                   5,            0.060654,            0.032392,             0.01949,            0.006561,             0.67857,           0.0091282,           0.0021559,             0.12022,            0.036201,            0.025549,             0.07911,           0.0021103,           0.0021103
                   6,            0.070874,            0.030843,            0.019035,           0.0072872,             0.71429,            0.013352,           0.0035247,             0.11832,            0.036655,            0.025067,            0.075433,           0.0024327,           0.0024327
                   7,            0.047032,            0.028119,            0.013082,           0.0072932,             0.71429,            0.023084,           0.0063302,             0.11649,            0.036598,            0.024176,            0.071742,            0.002742,            0.002742
                   8,              0.0442,            0.031975,             0.01189,            0.008725,             0.67857,             0.11076,            0.041443,             0.11553,            0.035744,             0.02301,            0.068038,            0.003038,            0.003038
                   9,            0.042702,            0.028471,            0.010062,             0.72608,            0.035714,             0.12847,             0.03715,               0.112,            0.036711,            0.021643,            0.064321,           0.0033208,           0.0033208
                  10,            0.052055,            0.024847,            0.010562,             0.27084,             0.27381,             0.28483,            0.080531,             0.10946,            0.037205,            0.020789,             0.06059,           0.0035905,           0.0035905
                  11,            0.046432,            0.024519,             0.01243,             0.47077,              0.2381,             0.30202,            0.095057,             0.10548,            0.039062,            0.019586,            0.056847,            0.003847,            0.003847
                  12,            0.052433,            0.020021,            0.012558,              0.4552,             0.20238,             0.27037,            0.079642,             0.10263,            0.040363,            0.018478,             0.05309,           0.0040902,           0.0040902
                  13,            0.039788,            0.023218,            0.006535,              0.3929,             0.20238,              0.2745,            0.082476,             0.10399,            0.039425,            0.017892,             0.04932,           0.0043202,           0.0043202
                  14,            0.048717,            0.019702,           0.0082455,             0.54621,             0.20238,             0.28839,             0.17369,              0.1023,             0.03973,            0.017157,            0.045537,           0.0045371,           0.0045371
                  15,            0.054153,            0.018417,            0.012495,             0.60293,             0.20238,             0.27166,             0.14718,              0.1018,            0.040081,            0.016937,            0.041741,           0.0047408,           0.0047408
                  16,            0.048355,            0.018092,           0.0066963,             0.86115,             0.22205,             0.30087,            0.080705,             0.10057,            0.040157,            0.016718,            0.037931,           0.0049312,           0.0049312
