epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54.911,0.75508,0.84452,1.18164,0.14604,0.20238,0.07763,0.03104,2.71639,3.76997,2.52574,0.000539275,0.000539275,0.000539275
43,56.2571,0.80047,0.92199,1.25816,0.1543,0.1543,0.0666,0.02756,2.71088,3.84104,2.53046,0.000511769,0.000511769,0.000511769
44,57.8213,0.74384,0.85726,1.21218,0.0034,0.40476,0.05768,0.02115,2.69588,3.82099,2.46239,0.000484263,0.000484263,0.000484263
45,59.4676,0.73119,0.81126,1.16074,0.00338,0.40476,0.06888,0.02969,2.7248,3.7904,2.40076,0.000456758,0.000456758,0.000456758
46,60.7568,0.77729,0.98075,1.21814,0.00503,0.60714,0.0374,0.01231,2.72622,3.81119,2.44458,0.000429253,0.000429253,0.000429253
47,61.9083,0.7079,0.80472,1.15814,0.21761,0.14508,0.10435,0.01525,2.67194,4.01369,2.53859,0.000401747,0.000401747,0.000401747
48,63.1062,0.66534,0.77344,1.14411,0.57127,0.03571,0.04958,0.00879,2.6111,4.15719,2.53247,0.000374242,0.000374242,0.000374242
49,64.2209,0.59417,0.71389,1.08362,0.00427,0.44048,0.0277,0.0075,2.58128,4.24386,2.54599,0.000346736,0.000346736,0.000346736
50,65.2765,0.65372,0.69114,1.0759,0.05197,0.03571,0.02766,0.00738,2.59753,4.25604,2.57566,0.000319231,0.000319231,0.000319231
51,67.9451,0.62252,1.37962,1.1587,0.00423,0.44048,0.01563,0.00533,2.60586,4.1528,2.55701,0.000291725,0.000291725,0.000291725
52,69.27,0.62382,1.25296,1.18737,0.58066,0.03571,0.01701,0.00427,2.56336,4.03905,2.53224,0.00026422,0.00026422,0.00026422
53,70.8137,0.53692,1.12883,1.10932,0.57862,0.03571,0.01432,0.00287,2.54513,3.89985,2.50593,0.000236714,0.000236714,0.000236714
54,72.4805,0.59298,1.16346,1.12675,0.00421,0.44048,0.00658,0.002,2.54109,3.8219,2.46562,0.000209209,0.000209209,0.000209209
55,74.1186,0.48457,1.12683,1.10524,0.0042,0.44048,0.00846,0.00244,2.52939,3.83927,2.445,0.000181703,0.000181703,0.000181703
56,75.24,0.60609,1.24714,1.11236,0.00501,0.60714,0.00813,0.0023,2.5381,3.84639,2.44064,0.000154198,0.000154198,0.000154198
57,76.3219,0.43346,1.03166,1.00912,0.00421,0.44048,0.02163,0.00654,2.54928,3.83168,2.42162,0.000126692,0.000126692,0.000126692
58,77.6943,0.44781,1.0309,1.03477,0.00501,0.60714,0.03084,0.01078,2.5428,3.78523,2.38246,9.91865e-05,9.91865e-05,9.91865e-05
59,78.7175,0.44651,1.02692,1.02852,0.00501,0.60714,0.03635,0.01403,2.56384,3.77447,2.38196,7.1681e-05,7.1681e-05,7.1681e-05
60,79.7771,0.44755,0.95723,1.03813,0.00501,0.60714,0.03597,0.01513,2.57472,3.79143,2.36231,4.41755e-05,4.41755e-05,4.41755e-05
