               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033929,            0.013043,            0.004062,             0.62319,             0.38616,             0.49258,             0.19669,            0.091854,            0.044659,            0.009166,           0.0057925,           0.0057925,           0.0057925
                  36,            0.026003,              0.0147,           0.0017337,             0.54961,             0.39695,             0.38689,             0.11623,            0.099642,            0.040047,           0.0089844,           0.0056688,           0.0056688,           0.0056688
                  37,            0.034577,            0.015013,           0.0028366,             0.74232,             0.40122,             0.48103,             0.22384,            0.094329,            0.042938,           0.0084991,            0.005545,            0.005545,            0.005545
                  38,            0.035457,            0.014501,           0.0052012,             0.75097,             0.38993,             0.46907,              0.2146,            0.096529,            0.041088,           0.0084122,           0.0054212,           0.0054212,           0.0054212
                  39,            0.028218,            0.015019,           0.0019097,             0.41271,             0.39656,             0.38649,              0.1246,             0.10001,            0.038971,           0.0083069,           0.0052975,           0.0052975,           0.0052975
                  40,            0.036064,            0.013758,           0.0024578,             0.83357,             0.39903,             0.49459,             0.23656,            0.099522,            0.038628,            0.008194,           0.0051737,           0.0051737,           0.0051737
                  41,            0.028264,            0.014572,           0.0018117,             0.79256,             0.40189,             0.44226,             0.17707,            0.096801,            0.040825,           0.0078903,             0.00505,             0.00505,             0.00505
                  42,            0.042238,            0.012548,           0.0031895,             0.84482,             0.40476,             0.47913,             0.21478,            0.098236,            0.039993,           0.0078888,           0.0049263,           0.0049263,           0.0049263
                  43,            0.024834,            0.013161,           0.0018122,              0.8678,             0.41428,             0.53468,             0.14583,            0.096539,            0.041519,           0.0079132,           0.0048025,           0.0048025,           0.0048025
                  44,            0.044335,            0.013838,            0.010099,             0.86866,             0.40476,             0.51413,             0.25275,            0.096044,            0.042116,           0.0078705,           0.0046788,           0.0046788,           0.0046788
                  45,            0.047335,            0.016704,           0.0081688,             0.83113,             0.44048,             0.50893,             0.25652,             0.09132,            0.044483,           0.0076736,            0.004555,            0.004555,            0.004555
                  46,            0.029323,            0.015251,           0.0018125,             0.78883,             0.44048,             0.51932,             0.22357,             0.09245,            0.043571,           0.0076584,           0.0044313,           0.0044313,           0.0044313
                  47,            0.027543,            0.016179,           0.0022386,              0.5606,             0.44048,             0.41384,             0.21491,            0.089268,            0.044998,           0.0075104,           0.0043075,           0.0043075,           0.0043075
                  48,            0.030183,            0.015182,           0.0022886,             0.75131,             0.44048,             0.50738,              0.2192,            0.090546,             0.04446,           0.0074936,           0.0041837,           0.0041837,           0.0041837
                  49,            0.023875,             0.01267,           0.0028304,             0.86911,             0.42422,              0.5108,             0.26308,            0.089306,            0.045311,           0.0070847,             0.00406,             0.00406,             0.00406
                  50,            0.028684,            0.015146,           0.0019929,             0.63076,             0.44048,             0.51544,             0.24553,            0.088586,            0.046032,           0.0068069,           0.0039362,           0.0039362,           0.0039362
                  51,             0.02508,            0.015413,           0.0013304,              0.7502,             0.39295,             0.56036,             0.27775,            0.088347,            0.046162,           0.0064529,           0.0038125,           0.0038125,           0.0038125
                  52,            0.022488,            0.014148,            0.001476,             0.62689,             0.45986,             0.56736,             0.27835,            0.086934,            0.046932,           0.0062317,           0.0036888,           0.0036888,           0.0036888
                  53,            0.022646,            0.014438,           0.0014251,             0.61985,             0.44048,             0.55173,             0.26148,            0.087577,            0.047112,           0.0061432,            0.003565,            0.003565,            0.003565
                  54,            0.029436,            0.015147,           0.0017039,             0.75694,             0.44048,             0.56331,             0.27548,            0.086692,            0.047421,           0.0060135,           0.0034413,           0.0034413,           0.0034413
                  55,             0.03437,            0.011879,           0.0082586,             0.82853,             0.39799,             0.56014,             0.27859,            0.087253,            0.047661,           0.0060364,           0.0033175,           0.0033175,           0.0033175
                  56,            0.021017,             0.01287,           0.0014093,             0.62995,             0.59913,             0.61183,             0.30446,              0.0861,            0.049057,            0.005925,           0.0031938,           0.0031938,           0.0031938
                  57,            0.034587,            0.013149,           0.0013428,             0.60507,             0.56503,             0.59334,             0.26329,            0.088349,            0.047802,            0.005957,             0.00307,             0.00307,             0.00307
                  58,            0.020694,            0.013343,           0.0011901,             0.60102,             0.56683,             0.59056,             0.28028,            0.087437,            0.048798,           0.0059723,           0.0029462,           0.0029462,           0.0029462
                  59,            0.026136,            0.012772,           0.0019211,             0.57285,             0.53312,             0.58832,             0.29312,            0.087529,            0.049229,           0.0061218,           0.0028225,           0.0028225,           0.0028225
                  60,            0.023325,            0.013824,           0.0010382,             0.56344,             0.52873,             0.58907,              0.2803,            0.086798,            0.050034,           0.0061096,           0.0026987,           0.0026987,           0.0026987
                  61,            0.023311,            0.012841,           0.0012938,             0.56023,             0.53301,             0.59401,              0.2752,            0.086389,            0.050583,            0.006134,            0.002575,            0.002575,            0.002575
                  62,            0.019788,            0.012253,           0.0033362,             0.57057,             0.52099,             0.57109,              0.2673,            0.086963,            0.051102,           0.0062286,           0.0024513,           0.0024513,           0.0024513
                  63,             0.01987,            0.013307,             0.00179,              0.5727,             0.51867,             0.58212,             0.29249,            0.085767,            0.052223,           0.0062698,           0.0023275,           0.0023275,           0.0023275
                  64,            0.024407,            0.012529,           0.0045554,             0.56593,             0.51683,             0.58087,             0.30786,            0.085839,            0.052269,           0.0061615,           0.0022038,           0.0022038,           0.0022038
                  65,            0.033234,            0.014263,           0.0032486,             0.58703,             0.52267,              0.5688,             0.30102,            0.086137,            0.052109,           0.0063309,             0.00208,             0.00208,             0.00208
                  66,            0.018825,            0.012098,          0.00081956,             0.58115,             0.52959,             0.58032,             0.27208,            0.086951,            0.051323,            0.006572,           0.0019563,           0.0019563,           0.0019563
                  67,            0.025934,            0.011618,          0.00076452,             0.59518,             0.52667,             0.56841,              0.2784,            0.086688,            0.051735,           0.0066589,           0.0018325,           0.0018325,           0.0018325
                  68,             0.02334,              0.0121,           0.0017777,             0.56867,             0.53761,             0.58732,             0.30103,            0.086237,             0.05188,           0.0066269,           0.0017087,           0.0017087,           0.0017087
                  69,              0.0176,            0.011926,          0.00084693,             0.59215,             0.53622,             0.57399,             0.30064,            0.085435,            0.052162,           0.0067825,            0.001585,            0.001585,            0.001585
                  70,            0.018072,            0.011443,            0.001551,             0.59552,             0.53035,             0.56834,             0.29517,            0.085694,            0.052368,           0.0067383,           0.0014612,           0.0014612,           0.0014612
                  71,            0.017621,             0.01117,           0.0015377,             0.59914,             0.53616,             0.58046,             0.30066,            0.085114,            0.052513,           0.0068893,           0.0013375,           0.0013375,           0.0013375
                  72,             0.01621,            0.011656,          0.00062566,             0.59823,             0.53936,             0.58318,              0.2992,            0.085554,            0.052147,           0.0069534,           0.0012138,           0.0012138,           0.0012138
                  73,            0.021197,            0.011715,           0.0010118,             0.59321,             0.54404,             0.58352,             0.30204,            0.084958,            0.052208,           0.0070511,             0.00109,             0.00109,             0.00109
                  74,            0.021322,            0.011555,           0.0013266,             0.63039,              0.5271,              0.5836,             0.29605,            0.084687,            0.052185,           0.0070313,          0.00096625,          0.00096625,          0.00096625
                  75,            0.017792,            0.013747,           0.0006627,             0.61254,             0.53024,             0.58342,             0.30144,            0.083869,            0.052597,            0.007103,           0.0008425,           0.0008425,           0.0008425
                  76,             0.01968,            0.011127,            0.001181,             0.62143,             0.52775,             0.58434,             0.29607,            0.084373,            0.052101,            0.007222,          0.00071875,          0.00071875,          0.00071875
                  77,            0.016195,            0.011904,          0.00088762,             0.62953,             0.52962,             0.58406,             0.29617,             0.08441,            0.052086,           0.0074463,            0.000595,            0.000595,            0.000595
                  78,            0.019775,            0.012013,          0.00055831,             0.66379,             0.52688,             0.58398,             0.29629,            0.084096,            0.052063,             0.00755,          0.00047125,          0.00047125,          0.00047125
                  79,            0.015311,             0.01187,          0.00074361,             0.64367,             0.52475,             0.58111,             0.29615,            0.083943,            0.052155,           0.0074524,           0.0003475,           0.0003475,           0.0003475
