epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,24.8137,0.95257,1.28247,1.38796,0.97807,0.33333,0.37817,0.19513,2.44974,3.05262,2.13108,0.000971757,0.000971757,0.000971757
20,26.4054,0.95918,1.22944,1.32918,1,0.30776,0.37672,0.16122,2.58603,3.1695,2.25546,0.00100729,0.00100729,0.00100729
21,27.7379,0.97258,1.18791,1.32307,0.93214,0.16667,0.22438,0.16325,2.60048,3.47275,2.41888,0.00104117,0.00104117,0.00104117
22,28.7892,0.89604,1.16361,1.33117,1,0.32545,0.36978,0.25697,2.52828,3.46684,2.26014,0.0010734,0.0010734,0.0010734
23,29.898,0.93165,1.24449,1.38992,0.81253,0.33333,0.29579,0.17929,2.73735,3.29261,2.53716,0.00110397,0.00110397,0.00110397
24,30.9451,0.83921,1.06773,1.30999,0.1927,0.33333,0.2537,0.11019,3.15502,3.59794,2.82031,0.0011329,0.0011329,0.0011329
25,32.1692,0.92879,1.23845,1.35672,0.19071,0.35441,0.12645,0.01882,3.23466,3.70191,2.87971,0.00116018,0.00116018,0.00116018
26,33.3369,1.04982,1.081,1.34561,0.19998,0.36905,0.08686,0.03454,2.85927,3.49895,2.46608,0.00115127,0.00115127,0.00115127
27,34.3963,0.92796,1.03605,1.3339,0.60783,0.22801,0.29914,0.07361,2.76645,3.01542,2.43469,0.00113064,0.00113064,0.00113064
28,35.472,0.91722,1.02624,1.30943,0.70367,0.20783,0.26456,0.10319,2.72,3.04689,2.29182,0.00111001,0.00111001,0.00111001
29,36.981,0.91033,1.07671,1.28924,0.5664,0.19837,0.20746,0.0886,2.51292,3.07197,2.24718,0.00108938,0.00108938,0.00108938
30,38.5981,0.82005,1.02366,1.24287,0.16025,0.20238,0.12152,0.03237,2.60474,3.20442,2.45396,0.00106876,0.00106876,0.00106876
31,40.4717,0.82525,1.10179,1.26387,0.07105,0.03571,0.04725,0.01997,2.82726,3.41998,2.60852,0.00104813,0.00104813,0.00104813
32,41.5464,0.83518,0.99732,1.27024,0.59822,0.03571,0.01687,0.00894,3.09422,3.64931,2.73993,0.0010275,0.0010275,0.0010275
33,42.5965,0.76442,0.90085,1.20813,0.11974,0.03571,0.02112,0.0063,3.1043,3.67308,2.82132,0.00100687,0.00100687,0.00100687
34,43.661,0.78738,0.99489,1.24079,0.07905,0.03571,0.00928,0.00199,2.89112,3.92401,2.6905,0.000986239,0.000986239,0.000986239
35,44.7381,0.86395,1.0039,1.26929,0.01128,0.2381,0.02053,0.00424,3.09199,3.94812,2.80034,0.00096561,0.00096561,0.00096561
36,45.8951,0.84059,0.94353,1.25283,0.05672,0.16667,0.03583,0.01072,3.27362,4.09021,2.89738,0.000944981,0.000944981,0.000944981
37,46.94,0.90723,0.94756,1.27853,0.10503,0.16667,0.04899,0.01481,3.23314,4.26093,2.80289,0.000924352,0.000924352,0.000924352
38,48.0257,0.75303,0.87271,1.17042,0.10985,0.16667,0.07625,0.01236,3.03468,4.00717,2.63501,0.000903722,0.000903722,0.000903722
39,49.1076,0.8164,0.98883,1.24139,0.04815,0.16667,0.06051,0.01814,3.04539,3.86017,2.65209,0.000883093,0.000883093,0.000883093
40,50.1672,0.94811,1.05264,1.36345,0.12323,0.19415,0.11486,0.02852,2.9283,3.81166,2.68927,0.000862464,0.000862464,0.000862464
41,51.6922,0.71238,0.86834,1.18221,0.15788,0.20238,0.08251,0.02031,2.96754,3.56434,2.83921,0.000841835,0.000841835,0.000841835
42,53.5105,0.80417,0.84287,1.21163,0.15207,0.20238,0.07737,0.01568,2.97241,3.54214,2.75681,0.000821206,0.000821206,0.000821206
43,54.9788,0.84886,0.95261,1.31929,0.41026,0.20238,0.1215,0.01678,2.95335,3.52055,2.68404,0.000800577,0.000800577,0.000800577
44,56.232,0.75377,0.88207,1.21638,0.13545,0.20238,0.04795,0.01358,2.65302,3.74497,2.47307,0.000779948,0.000779948,0.000779948
45,57.2881,0.74374,0.82741,1.17813,0.14067,0.20238,0.05111,0.02218,2.57164,3.64725,2.38515,0.000759318,0.000759318,0.000759318
46,58.3626,0.91345,1.02358,1.40656,0.1471,0.20238,0.05004,0.01954,2.53416,3.73003,2.35282,0.000738689,0.000738689,0.000738689
47,59.4921,0.73716,0.86144,1.17093,0.16093,0.19875,0.04746,0.01921,2.65004,3.76135,2.43175,0.00071806,0.00071806,0.00071806
48,60.551,0.68544,0.77921,1.15144,0.14465,0.1902,0.0612,0.02451,2.67077,3.68012,2.40476,0.000697431,0.000697431,0.000697431
49,61.5758,0.68598,0.73038,1.1349,0.2914,0.22559,0.10157,0.02651,2.68635,3.54123,2.42501,0.000676802,0.000676802,0.000676802
50,62.6854,0.7986,0.76025,1.13986,0.26689,0.20238,0.09108,0.03449,2.48018,3.46816,2.33207,0.000656173,0.000656173,0.000656173
51,63.7493,0.68376,0.74407,1.16848,0.38943,0.2278,0.10132,0.03821,2.4432,3.52676,2.26548,0.000635544,0.000635544,0.000635544
52,65.1068,0.69978,0.73876,1.14422,0.32344,0.20358,0.11236,0.04818,2.39949,3.58605,2.21478,0.000614915,0.000614915,0.000614915
53,66.6205,0.71096,0.75453,1.19585,0.38165,0.20238,0.10234,0.04536,2.37451,3.56402,2.14661,0.000594286,0.000594286,0.000594286
54,68.4632,0.64605,0.75403,1.10347,0.47369,0.20238,0.1234,0.09259,2.4015,3.50355,2.16618,0.000573656,0.000573656,0.000573656
55,69.5336,0.69959,0.79983,1.20274,0.42818,0.19846,0.12403,0.05901,2.39083,3.48899,2.14225,0.000553027,0.000553027,0.000553027
56,70.5474,0.70313,0.79601,1.15645,0.39876,0.18979,0.21084,0.11642,2.41165,3.45455,2.08734,0.000532398,0.000532398,0.000532398
57,71.8995,0.75597,0.77399,1.1664,0.56597,0.18889,0.21986,0.13223,2.46859,3.45199,2.11721,0.000511769,0.000511769,0.000511769
58,72.9689,0.65824,0.695,1.13638,0.57655,0.19522,0.21909,0.14884,2.47275,3.38393,2.13666,0.00049114,0.00049114,0.00049114
59,74.0163,0.66354,0.66377,1.13241,0.39948,0.16667,0.21714,0.16478,2.48059,3.37636,2.14975,0.000470511,0.000470511,0.000470511
60,75.0735,0.62711,0.67519,1.10674,0.3483,0.18899,0.22305,0.14909,2.49103,3.43275,2.17765,0.000449882,0.000449882,0.000449882
61,76.079,0.65891,0.65624,1.11471,0.40058,0.20212,0.13215,0.08234,2.5248,3.50135,2.26379,0.000429253,0.000429253,0.000429253
62,77.2011,0.6214,0.65764,1.10064,0.22884,0.20238,0.08179,0.04261,2.53623,3.58414,2.26821,0.000408623,0.000408623,0.000408623
63,78.2932,0.58575,0.64762,1.03558,0.16459,0.2205,0.07239,0.03478,2.58303,3.62578,2.26931,0.000387994,0.000387994,0.000387994
64,79.9523,0.64695,0.70462,1.11075,0.16342,0.2218,0.06362,0.02977,2.6268,3.6801,2.30772,0.000367365,0.000367365,0.000367365
65,81.7569,0.60076,0.70793,1.07374,0.22682,0.20238,0.06909,0.03539,2.61142,3.68467,2.3545,0.000346736,0.000346736,0.000346736
66,83.2596,0.54434,0.65405,1.04813,0.37788,0.23576,0.0899,0.04285,2.62401,3.65266,2.37766,0.000326107,0.000326107,0.000326107
67,84.5614,0.56698,0.65097,1.05442,0.37796,0.23663,0.08607,0.0379,2.64641,3.69886,2.42186,0.000305478,0.000305478,0.000305478
68,85.666,0.57984,0.63203,1.07879,0.31086,0.2381,0.08189,0.03528,2.68484,3.76809,2.43831,0.000284849,0.000284849,0.000284849
69,86.7397,0.55735,0.63075,1.05178,0.25606,0.2381,0.06982,0.02807,2.68896,3.79623,2.45422,0.00026422,0.00026422,0.00026422
70,87.7971,0.58768,0.66376,1.09731,0.32781,0.2381,0.0806,0.02881,2.65999,3.80779,2.47175,0.00024359,0.00024359,0.00024359
71,90.4184,0.45132,1.08407,1.07438,0.16566,0.20238,0.05681,0.02452,2.69393,3.76999,2.47361,0.000222961,0.000222961,0.000222961
72,91.88,0.49937,1.03493,1.11217,0.15388,0.20822,0.05855,0.02312,2.70294,3.7683,2.47707,0.000202332,0.000202332,0.000202332
73,93.2245,0.46324,0.90136,1.06116,0.10733,0.06765,0.07181,0.02446,2.7357,3.75558,2.52348,0.000181703,0.000181703,0.000181703
74,94.6972,0.41523,0.91111,1.01071,0.10625,0.11542,0.07175,0.03141,2.72125,3.69447,2.51196,0.000161074,0.000161074,0.000161074
75,96.3118,0.62041,1.09156,1.27292,0.08643,0.03571,0.06947,0.03367,2.7266,3.7066,2.53383,0.000140445,0.000140445,0.000140445
76,97.4542,0.39727,0.83397,1.03869,0.08442,0.03571,0.06157,0.03186,2.73737,3.69265,2.55891,0.000119816,0.000119816,0.000119816
77,98.4522,0.44871,0.93054,1.0185,0.07963,0.03571,0.05925,0.0308,2.75331,3.65784,2.57817,9.91865e-05,9.91865e-05,9.91865e-05
78,99.612,0.40555,0.86499,1.02836,0.13781,0.20238,0.06169,0.03227,2.75564,3.60451,2.57252,7.85574e-05,7.85574e-05,7.85574e-05
79,100.62,0.44669,0.86856,1.07149,0.13143,0.20238,0.0599,0.03249,2.75894,3.572,2.56383,5.79283e-05,5.79283e-05,5.79283e-05
80,101.713,0.39824,0.89358,1.04904,0.21718,0.2381,0.09758,0.0292,2.73659,3.59947,2.5363,3.72991e-05,3.72991e-05,3.72991e-05
