epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23733,1.20776,2.97269,1.75907,0.00742,0.71429,0.0952,0.03844,1.99766,3.20395,1.70265,5.001e-05,5.001e-05,5.001e-05
2,3.32972,1.30626,2.9945,1.7832,0.00801,0.75,0.23105,0.0782,1.98916,3.21527,1.66097,0.000115246,0.000115246,0.000115246
3,4.53464,1.1849,2.54488,1.62521,0.00732,0.71429,0.29509,0.17272,1.85381,3.1505,1.58097,0.000178832,0.000178832,0.000178832
4,5.66451,1.03895,2.02782,1.50653,0.00674,0.67857,0.42,0.18118,1.82366,3.11103,1.62379,0.000240767,0.000240767,0.000240767
5,6.78048,1.05084,1.62709,1.46826,0.00535,0.60714,0.35379,0.13312,2.0184,3.12348,1.73337,0.000301052,0.000301052,0.000301052
6,7.92222,1.06754,1.66383,1.47988,0.00656,0.67857,0.40803,0.12866,2.16057,3.12523,1.87239,0.000359687,0.000359687,0.000359687
7,9.61634,1.01547,1.48947,1.45075,0.00804,0.61905,0.25879,0.07052,2.19287,3.18647,1.96811,0.000416671,0.000416671,0.000416671
8,11.5845,0.94966,1.33781,1.37294,0.00728,0.58333,0.36942,0.09836,2.30805,3.21901,2.04764,0.000472005,0.000472005,0.000472005
9,12.9323,1.03693,1.4839,1.41279,0.00422,0.44048,0.32853,0.10481,2.28414,3.30875,2.11447,0.000525688,0.000525688,0.000525688
10,14.0222,1.03953,1.43933,1.40858,0.21164,0.33333,0.23014,0.04811,2.32765,3.27113,2.22768,0.000577722,0.000577722,0.000577722
11,15.16,1.01322,1.33092,1.35546,0.02139,0.03571,0.04697,0.01756,2.47673,3.24318,2.14706,0.000628105,0.000628105,0.000628105
12,16.2953,0.97648,1.4176,1.41233,0.37488,0.03571,0.04656,0.01422,2.56616,3.20765,2.09999,0.000676837,0.000676837,0.000676837
13,17.3551,1.07493,1.46054,1.45586,0.31908,0.07143,0.07459,0.00903,2.7375,3.13401,2.19462,0.00072392,0.00072392,0.00072392
14,18.4065,0.98743,1.2808,1.35901,0.33143,0.03571,0.05805,0.01528,2.80439,3.08036,2.26254,0.000769352,0.000769352,0.000769352
15,19.413,0.89401,1.1763,1.24623,0.81034,0.20238,0.25626,0.0721,2.63017,2.76246,2.22137,0.000813133,0.000813133,0.000813133
16,20.5751,1.0221,1.28149,1.40359,0.8608,0.36905,0.40329,0.09797,2.64369,2.89725,2.26244,0.000855265,0.000855265,0.000855265
17,21.6549,0.95774,1.31955,1.49095,0.6859,0.36905,0.33662,0.1113,2.62464,3.09396,2.28609,0.000895746,0.000895746,0.000895746
18,23.1722,0.97896,1.24243,1.35247,0.97804,0.33333,0.38232,0.14326,2.26818,3.0912,2.0794,0.000934576,0.000934576,0.000934576
